Hepacivirus C,11103
Rhinovirus A,147711
Rhinovirus C,463676
Human gammaherpesvirus 4,10376
Human betaherpesvirus 5,10359
Enterovirus B,138949
Human alphaherpesvirus 1,10298
Enterovirus C,138950
Rhinovirus B,147712
Enterovirus A,138948
Norwalk virus,11983
Human alphaherpesvirus 2,10310
Influenza A virus,11320
Human betaherpesvirus 6,10368
Human respirovirus 3,11216
Human mastadenovirus B,108098
Human mastadenovirus C,129951
Torque teno virus,68887
Human orthopneumovirus,11250
Influenza B virus,11520
Human mastadenovirus D,130310
Human papillomavirus,10566
Dengue virus,12637
Measles morbillivirus,11234
Enterovirus D,138951
Hepatovirus A,12092
Rotavirus A,28875
Human metapneumovirus,162145
Rotavirus C,36427
Hepatitis B virus,10407
Betacoronavirus 1,694003
Parechovirus A,1803956
Mamastrovirus 1,1239565
Aichivirus A,72149
Vaccinia virus,10245
Torque teno midi virus,432261
Human alphaherpesvirus 3,10335
Human betaherpesvirus 7,10372
Sapporo virus,95342
Human coronavirus 229E,11137
Rubella virus,11041
TTV-like mini virus,93678
Cardiovirus B,1821750
Influenza C virus,11552
Orthohepevirus A,1678143
Rabies lyssavirus,11292
Molluscum contagiosum virus,10279
Human gammaherpesvirus 8,37296
Human bocavirus,329641
Japanese encephalitis virus,11072
Human coronavirus NL63,277944
Human respirovirus 1,12730
Human rubulavirus 4,1979161
Mammalian orthoreovirus,351073
Chikungunya virus,37124
Human mastadenovirus A,129875
Human rubulavirus 2,1979160
Rotavirus B,28876
Human coronavirus HKU1,290028
Rotavirus H,1348384
California encephalitis orthobunyavirus,1933264
Mumps rubulavirus,1979165
Alphapapillomavirus 9,337041
Human polyomavirus 1,1891762
Lymphocytic choriomeningitis mammarenavirus,11623
Human polyomavirus 3,1891764
West Nile virus,11082
Alphapapillomavirus 7,337042
Yellow fever virus,11089
Cosavirus A,1330491
Betapapillomavirus 2,333924
Betapapillomavirus 1,337051
Zika virus,64320
Primate T-lymphotropic virus 1,194440
Salivirus A,1330524
Human polyomavirus 2,1891763
Severe acute respiratory syndrome coronavirus,694009
Alphapapillomavirus 10,333754
Alphapapillomavirus 3,333767
Human picobirnavirus,145856
Human immunodeficiency virus 1,11676